Organic Nation


Phil Wohl


Smashwords Edition
Copyright 2009 Phil Wohl

This eBook is licensed for your personal enjoyment only. This eBook may not be re-sold or given away to other people. If you would like to share this book with another person, please purchase an additional copy for each recipient. If you’re reading this book and did not purchase it, or it was not purchased for your use only, then please return to Smashwords.com and purchase your own copy. Thank you for respecting the hard work of this author.



ON

	“Please empty your pockets,” the prison guard said with all of the emotion of an extension cord.
	The two men walked inside of Guy’s parents’ house and Gary exclaimed, “Wow!  You did this all yourself?”
	Guy smiled, “My brother banged a few nails in, too.”
	The two men squared off and Gary posed the obvious question, “Could you do this in my house?  What would something like this cost?”
	Guy replied, “Oh, I think we can work something out.”
	Word spread quickly through the neighborhood and within six months, Guy had completed three jobs and saved enough money to move out of his parents’ house.  He bought a house a few blocks away that was really run down, paying peanuts and maintaining a continuous flow of renovation for years between jobs.
	Organic Nation obviously wasn’t Guy’s first renovation project, but it was his first foray into corporate America.  While he had an eye for using materials that increased energy efficiency, he never delved into renewable materials and other green-friendly materials.
	Guy absorbed information like a sponge to the point where Brad not only hired him to renovate all properties to Organic Nation specifications, he also talked to him into working on his parents’ house.  Brad called Guy one quiet afternoon.
	“Guy, how are you doing?” Brad asked.
	Guy was a bit confused, “Mr. Green?  Is that you?”
	“Yeah, it’s me Guy.”
	“Are you still in jail?”
	Brad rolled his eyes knowing that Guy was quite skilled with his hands, but usually came up short with his stumbling attempts to master the English language.
	“Yes, but I have another job for you,” Brad explained after he confirmed that he was, indeed, behind the proverbial bars.
	Guy hesitated, “Ugh, I’m not sure, Mr. Green.”
	Brad replied, “No, no.  This one is personal, not professional.”
	Guy sounded relieved, “That good to hear.  What’s on your mind?”
	Guy’s company focused on high profile commercial projects, and it had been years since he worked on a residential project.
	“I need you to renovate my parents’ house.  I think I’m gonna’ live there after I get out of here.”
	Guy hesitated and then replied, “Are they treating you okay in there?”
	“Once I started doing most of the cooking, things have been great.”
	Guy started coughing, “You’re cooking?”
	Brad looks at us, “Why is everyone so surprised about my cooking?”  He then talks to Guy, “I’ll have to cook you something in my new kitchen.”
	“I’ll have to take you up on that, boss.  I’ll work up some plans once I complete the walk-through.”
	“You can get the key from my realtor.  I’ll give her a call and she’ll get in touch with you to let you in.  Just keep in mind…” and the both said simultaneously, “an open floor plan.”
	Guy never brought up money, because money was never an issue in his dealings with Brad.  His “boss” always took care of him, and he made him a wealthy man beyond his wildest dreams.
	Guy was in full research mode again searching for the latest renewable materials and green products.  He planned on using solar energy to power the entire house and replace all of the walls with one-way glass, which let natural light in but appeared mirror-like to people outside.  This enabled the inhabitants to retain full privacy while enjoying the natural beauty of the outside.
	The traditional split-level house was turned into a Frank Lloyd Wright-inspired, free-flowing wonder.  It took almost three years to complete the job, but Brad had plenty of time and money.  No invoice was ever sent to Brad, because Guy always got paid.  Brad was always up front with the Fillano family despite all of his quirks in his business life.  The job wound up costing more than the initial house was worth, and Guy could sense there would be more excitement forthcoming in his long association with Brad.  Money was no longer the object even though Guy wasn’t sure if Brad had the money.  He knew, however, with 100% certainty that the big guy would make eventually make good on the deal.

Three Down, Two to Go

	Hours turned into days, which turned into months and then years.  Steve Churchill, the new CEO of Organic Nation, tried to pick up the pieces and emerge from Chapter 11 bankruptcy proceedings.
	“Did you see the news today?” Charles said to Brad as they sat in the lounge.
	“No, you know I don’t read those rags anymore,” Brad replied as he looked over pictures of his renovated house.
	Charles turned the paper around to reveal the following headline:
ON TURNS OFF
	“Looks like your company finally went belly-up.”
	Brad’s initial inclination was to say, “It’s not my company anymore,” but he said, “The light went off years ago.  Churchill never really had a chance.”
	“On a positive note, I think I’m done with the book,” Charles stated.
	Brad’s nerves were still a bit raw, “You think?  When will you know?”
	Charles hesitated, so a new and improved Brad stepped in.
	“I’m sorry, my friend.  That just unearthed a few raw memories.”
	“No worries.  I was just editing the book for the fifth time.  I must be getting a little punchy myself.”
	“Is it time for us to meet the publisher?” Brad asked.
	Charles nodded and replied, “It’s time for us to get back to The Street.”
	“Yeah, I guess it is,” Brad replied.
	The representative from McGraw-Hill was a friend of Charles’, but the two men hadn’t seen each other in over five years.  Brad and Charles were able to swing a meeting at Starbucks instead of meeting inside the prison.
	“You guys are actually friends?” Joe Archibald asked the two men sitting in front of him.
	Once the laughter subsided, Charles said “That’s why we decided to write a book.  When we first looked at it, there were two separate books here: one on the rise and fall of Organic Nation, and the other on our unlikely relationship.”
	“So, which one did you write?” Joe asked.
	Brad interjected, “Which book would you want to read or publish?”
Joe looked into Brad’s gentle but unyielding eyes and replied, “I want both the peanut butter and the chocolate.”
Charles reached into his bag and pulled out a thick wad of paper and plunked it on the table.
“I’ve already had this copyrighted,” Charles stated, putting all of his cards on the table.
Joe looked at the title and said, “Wall Street Nation” and then chewed on it for a moment and stated, “I like it.”
He picked up the manuscript and said, “I’m going to pull a Harry Met Sally for a moment.”
He flipped the title page over and read the first page a then flipped the book over and read the last page.
“Well, gentlemen,” Joe said looking at the two men, “I think we have a best seller here.”
The men toasted with various coffee blends and then stood up and shook on the deal.  The clock was approaching twelve and it was time for the men to get back before their carriage turned back into a pumpkin.
Charles and Brad were noticeably excited when they returned to the prison.  With only one a year and change remaining on Charles’ sentence and two on Brad’s time, the men were starting to focus on their lives after prison.
  The guys made a bee-line to their room to change out of their civvies’ and back into standard prison garb.  Brad was walking ahead of Charles and turned into the corner of the doorway before running into an unexpected clenched fist.
“You mother fucker!  You ruined my life!” the large man said as he repeatedly struck Brad in the face with his right fist.  A surprised Charles tried to pull the guy off Brad but he inadvertently got knocked out with one punch.  The enraged man picked a semi-conscious Brad up by clasping both sides of his dress shirt.
“You ruined my life!  I believed in you!” the man screamed as he tossed Brad to the floor.
Carl the prison guard walked in and said after looking around, “Let’s go, Coplia.  Play-time is over.”
The two men walked out and a few minutes later, Charles and Brad came to and staggered into the bathroom to clean the semi-dried blood off.  This wasn’t a world where ambulances raced in to save the day.  Years of obscurity and existing in a relatively peaceful environment were all wiped clean in the span of one action-packed afternoon.
“I think that guy broke my nose,” Charles said in a nasally voice.
Brad was pretty badly beaten but still managed to joke, “It’s definitely an improvement.”
“Who was that guy?” Charles asked.
“I might be wrong, but I’m pretty sure that he worked for me,” Brad said as he tossed water on his face, the blood from his eyes, nose and mouth rolled off his face and slowly slid down the drain.  He had taken a beating but it paled in comparison to the drubbing that his employees and shareholders had to endure.
“Don’t you know all of your employees?” Charles questioned.
Brad wet a towel with cold water and dabbed his lip, which was swelling at a rapid pace.
“You know, I used to know everyone when we were just beginning, when we were smaller.  But we got so big, so fast.  It seemed like I lost track of my people after a while.”
The two guys cleaned up and briefly stopped at the infirmary to get some Tylenol and a few band aids.  The doctor looked at Charles’ nose and walked right up to him and placed both thumbs on both sides of the bridge of his nose and applied enough pressure to straighten his nose.
Charles let out a moan and then tears shot out of his eyes and down his cheeks.
“Wow!  That hurt like hell!” Charles yelled.
“But it feels better, right?” the doctor replied.
“Yes, it feels better,” Charles replied.  “I can actually breathe through my nose for the first time in years!"
“Clean yourself up.  I’ll meet you in the mess hall,” Brad said.
It was Brad’s first day off from preparing meals, but he decided to stop off in the kitchen before picking up a tray.  Looks of horror greeted Brad as he walked through the kitchen.  Not only were the cuts on his face startling, but everyone knew what awaited him once he reached the prep station.  A familiar face was slicing tomatoes with a large, sharp knife.  Brad barely hesitated as he approached the man that had just beaten him to a pulp.
The 6’4” Green was rarely overshadowed by anyone, let alone a man his size that surprised him with a sucker punch.  In many ways, it was the beating that he wanted to take for years, but he couldn’t let the event go without retaliation.  He was nobody’s bitch, having fought every step of the way in his life on the way to the top.
Brad started talking as he approached the man, “Next time you have a beef with me,” he clenched his right fist and the struck the man with a thundering right hand in the middle of his nose.
The knife went flying up in the air as the guy went crashing to the floor.  Brad moved quickly and caught the knife by its handle before it lodged into the man’s leg.
Blood was gushing from the guy’s nose as Brad tossed a towel at him.  He moved really close to the guy’s face and then repeated the same move the doctor had just performed on Charles.
Once the guy got over the shock, Brad whispered, “You got your retribution, but don’t you ever come at me like that again.”
Brad then extended his right hand and the guy clasped his hand and was lifted to his feet.
“Who are you?” Brad asked.
The guy dabbed his nose and replied, “I was a sous chef at your Stony Brook location.  I lost my job a few years ago.”
“So, why the dramatics today?  Why didn’t you come after me a few years ago?” Brad asked as the two men walked into the corridor.
	The man dropped his head, “My name is Salvatore Coplia and…” he started crying.  “I lost my house and my wife left me, and then I wrote some bad checks, and then they repossessed my car.”
“Okay, easy there big guy.  How long you in for?” Brad asked.
“A few years,” Sal replied.
“Well, Sal.  This is your lucky day.  Believe it, or not, everything is going to be all right.”
Brad finally found a sous chef that could match his newfound passion for cooking.  The pickings were slim in jail for able-bodied assistants that weren’t just biding their time.  Just as fate had brought Charles and Brad together, it also dealt Brad an equally good hand in having Sal’s life completely fall apart.

BOOK ‘EM

It took six months for Wall Street Nation to get from the table of Starbucks to the printing press.  By that time, the public furor over Brad’s indiscretions has subsided and most of the corporate vultures had moved on to fresher pieces of meat.
Brad was also a few years removed from sending most of the money from his off-shore account to former employees.  He received many letters of thanks for his generous gesture and just as many angry rebuttals, although no one had the balls, or uterus, to return the money.
Word had spread about the book like a case of poison ivy at summer camp.  The thought of Wall Street’s golden boy joining forces with the Mouth from South Jersey turned a lot of heads and stomachs.  CNBC was eager to beat all of its financial media counterparts to the punch by scheduling its first ever interview from the inside of a Federal penitentiary.
The Wall Street Journal called, but the two men had no use for the rag.  The paper had not surprisingly grandstanded their views on the direction of public opinion.  The TV news show 60 Minutes was persistent, but it would have placed a decidedly negative spin on the book and the show refused to give them the final cut on editing the piece.  No, it was to be a live interview with CNBC’s Peter Bartlett, a veteran reporter that understood the ebbs and flows of Wall Street.
Charles had been Bartlett’s mentor and the two men still spoke often.  Bartlett had interviewed Brad a few times over the years, both on the way up and the way down.  It was a slow financial news day, being that it was being billed as a CNBC Special Report: Cell Mates - On the Way Back.  The network gave the duo an unprecedented 15- to 20-minute block, although the final length of the interview grew to 22 minutes after producers got mostly overwhelming positive calls after the first break.
“When did the idea for the book first surface?” Bartlett asked.
Brad looked at Charles and replied, “Well. I walked into our room day one and Charles was playing the cello.  I figured that I would either do something constructive, or I would quickly be without a roommate.”
Bartlett looked at Charles, “You were that depressed, Charles?”
Charles started laughing, “Yeah, I was pretty deep in the abyss.”
“How is your mental state now?” Peter asked.
“Since this has become a therapy session, I’m starting to feel like my old self again.  Or as much as I can being in jail.”
Peter jumped back in, “So, how is this whole jail thing going?”  He turned to Brad, “Are you worried about the public perception at this point?”
Brad replied, “Jail has been a life-changing experience for me.  I entered three and-a-half years ago thinking I would just do my time and then go back to conquering the world.  I’m happy to sit here today and say that I’m no longer interested in world domination,” he said releasing some of his old charm on the general population.
Brad continued, “I used to love that movie Wall Street and the line ‘Greed is good.’  Honestly, the only thing greed got me was five years in prison, the loss of my wife and possessions, and the company I loved,” Brad said slumping in his chair with his head down.
Peter paused for dramatic affect and asked, “I’ve heard that you’ve sent sizable sums of money to all of your former employees.  Is that true?”
A new, more humble Brad replied, “I would rather not comment on that.  Anything that may or may not have happened is between me and my employees.  Those people have suffered unnecessarily after giving all of their energy to Organic Nation.  It would be juvenile of me to think that I could ever fully square things with my nation.”
Peter nodded at Brad and then looked into the camera number one, “We will be back to discuss Wall Street Nation after this short break.”
The producer said “We’re out,” and Peter turned to Charles and exclaimed, “This is incredible!”  He then turned to Brad and said, “You still got it, Brad.  That’s some great TV!”
The three men went on to talk about the book, life after prison, and Brad’s newfound love of cooking.
“Did you ever cook anything while at Organic Nation?” Bartlett asked.
Brad laughed, “We would have lost our entire customer base if I would have done that!”  They all laughed.  “My only concern in those days was the cleanliness of the kitchen.  I’m still a real stickler for that.”
“What do you like to cook now?” Peter asked.
Charles interjected, “He makes a mean pesto.”
“In fact, I have a plate of pasta with pesto for you to try.”
With that, sous chef extraordinaire Salvatore Coplia walked into the shot with a bowl of pasta.
“This is my sous chef, Salvatore Coplia,” Brad stated.
Peter took hold of the bowl and he quickly twirled a forkful of pasta.  “Wow!  This is the best pesto I have ever tasted.  What is your secret?”  Brad waved him off and Peter continued, “You should open up your own restaurant.”
The three men looked at each other in a rare moment of complete clarity and understanding.  Peter looked at Sal and asked, “Brad, is this the guy that beat you to a pulp?”
Brad nodded in agreement before his new right-hand man, Sal, interjected, “Yeah, but he took his beating, dusted himself off, and then came back and knocked me out with one punch.”
Bartlett again took a pregnant pause and then concluded the interview, “Well, it’s obvious to this reporter that you can’t keep a good man down.  We all make mistakes in life, but the true measure of a man are how he responds to adversity.”  He picked up the black-jacketed book and said, “Wall Street Nation.  Give it a read.  I want to thank my guests, Brad Green, Charles Langford, and sous chef extraordinaire Salvatore “Rocky” Coplia.  This has been Peter Bartlett.  Have a profitable day.”
Something clicked off in Brad’s head when he heard the name “Green” being spoken by Peter Bartlett.  His conceit and ignorance pushed him to shorten his given name of Greenberg to the multi-purpose usage of Green.  It was too late to change his name on the book jacket - and, besides, he would sell more books with the more identifiable surname - but after he became a private citizen again, he would reclaim his birthright and become Brad Greenberg once more.

FINAL DAYS

	The interviews kept flowing in after that, propelling the book to the top of the New York Times Bestseller’s List in its first few days after being released.  The book was hot because of the candor of its protagonists; this seldom-seen look inside Wall Street gave the events that unfolded a more human and accessible touch.  Not only did the general public eat it up like the dollar menu at McDonald’s, the mainstream Wall Street professionals also fetched it up like an undervalued stock.
	“Have you given any thought to Peter’s idea?” Charles asked Brad as they strolled in the courtyard.
	“I’m just a little gun-shy after my last venture,” Brad replied.
	“Brad Green backing up?  I can’t believe my ears and eyes.”
	“It’s Greenberg.  At least it will be once I get out of here,” Brad replied.
	“Green, Greenberg.  Scared, cold feet.  Whatever.  You’re getting out of here next week and I’ll follow by the end of the month,” Charles stated.  “So, is this going to be it?  One bestselling book and we’re done?”
	Brad walked over and sat on a stone bench on the shady side of the courtyard.  The last days of summer were moving past but a few more 80-degree days were trying to hang on.  He ran his left hand over his face and replied, “I don’t want the word “nation” in the title of our restaurant.
	Sal came outside and took a seat next to Brad on the bench.
	“We have to prepare dinner in 10 minutes,” Sal said to Brad.
	“We doing lentil soup tonight?” Brad asked.
	“Oh, I love your lentil soup!” Charles cooed like a starved fan.
	“Let me ask you guys a question.  Where did you plan to live when we get out of here?” Brad asked.
	Charles looked at Sal and the two guys shrugged their shoulders.
	“Haven’t really thought that far ahead,” Charles said.
	Sal added, “I just thought we’d all do something together.”
	Brad smirked, “What would you guys say to living in my house?  I spaced the four bedrooms out so we’d all have privacy.”
	Sal slapped Brad’s hand and yelled, “I’m in!” and then ran inside like an excited kid.
	Charles extended his right hand and helped Brad off the bench.  The two men met in a hug, “Thanks for saving me, Greenberg.”
	“Everyone needs a muse, Langford.”

	Brad was on the phone constantly in the days leading up to his release.  In fact, a generous donation by Brad and Charles to fund a new prison kitchen was greeted with letting the three inmates free on the same day.  After all, Charles had one month left on his sentence and Sal had three months left on his.  The three men had been model prisoners, aside from the initial confrontation between Sal and Brad, and the administration of the jail wanted to show the world that they were successful in rehabilitating these three men.
	Guy Fillano worked like a cyclone on the days leading up to Brad’s release.  He was a perfectionist and knew how important it would be for his “boss” to reestablish a comfortable state of mind and home.  Although he had taken a more passive role in the manual labor portion of his business in recent years, he never needed an excuse to roll up his sleeves and get dirty.
	“Is the place ready?” Brad asked Guy while talking on the cell phone he had recently been allowed to purchase.  He threw his old cell phone in the garbage before entering jail, safe in the knowledge that the technology would obsolete by the time he got out.
	“Have I ever missed a deadline?” Guy asked like a true New Yorker always answering questions with another question.
	Brad laughed, “No, my friend, you never have.  A courier should be stopping by your office.  Let’s go have a meal together next week.  I have to talk with you about another project.”
	The wheels were already turning and Guy was confident that Brad had turned a corner in his life.  He could sense the change in the organic king once he started reworking his house.  Brad’s suggestions were always ahead of conventional thinking and inevitably expanded Guy’s thoughts much broader than he ever could have imagined alone.
	About 45 minutes after the phone call, a courier walked through the front door of Fillano Bros. and told the receptionist that he “had a package for Guy Fillano.”
	“Just leave it here, sweetie,” the 50-something woman said.
	“I have specific instructions to hand-deliver this to Mr. Fillano himself.”
	The woman picked up her phone and dialed Mr. Fillano’s extension.
	“Ugh sir, I have a courier out here that says he has to hand-deliver a package to you.”
	“Don’t worry about it Celia.  I’ll come out and pick it up.”
	Fillano walked out of his office and down the smartly-lit hall to the large half-oval, front desk.
	“Mr. Fillano?” the messenger said as he addressed Guy.
	“Yes, I am Guy Fillano.”
	“I have a package for you from Mr. Greenberg, Mr. Brad Greenberg.  Could you please sign here,” the messenger said as he pulled an envelope with a delivery form attached out of his knapsack.
	Fillano took a pen from the messenger and signed the signature box of the green and white form.  The messenger detached a portion of the form and handed the large, flat letter-sized envelope to Guy Fillano.
	“Thank you,” Fillano said.
	“You’re very welcome, sir.  Have a good day,” the messenger countered.
	Fillano smiled at the receptionist and wasn’t about to let her in on the “top level” secret.  Instead, he walked directly into his office and scooped up a letter opener before resting comfortably in his cushy desk chair.  The freshly-sealed envelope opened as easily as infant’s saturated diaper and Fillano slid a check out and placed it on his desk.  He then removed a small note, which read:
	Guy,

This should cover it, plus an advance on our next job.

	Brad
	A cashier’s check on its own was a mere dot on Guy’s large desk, but this check written for one million dollars stood out like plaid pants at a striped shirts convention.
There was an obvious reason why Guy stood behind his boss even when every other person in the universe abandoned him.  He refused to be party to the bashing of such an easy target even though it opened his own business up to government scrutiny.  Guy had nothing to hide and he did nothing wrong.  In fact, the government said in its findings, “Organic Nation could learn a lot about proper accounting methods from Fillano Brothers.”
	 Brad was also steadfast in his loyalty toward Guy, as there had been many occasions during the years when builders and contractors had approached him about making a change for change sake.  Free cars and other perks were offered but Brad never took the bait.  It was the one relationship in his life that stood the test of time and endured, which was quite a diversion from his usual routine of establishing a relationship, pissing on the relationship, and then walking away.
	The average prison relationship is somewhat more intense than the average relationship on the outside.  The thought crossed Brad’s mind that his buddies in prison wouldn’t translate into the unconfined world, but he quickly dismissed the flighty notion.  Brad, Charles, and Sal had already hit the ground hard, and even dug half-way to the earth’s core.  Prosperity would only bring the men closer, or so Brad thought.
	“You excited about getting out tomorrow?” Sal asked to Charles.
	Charles was the consummate thinker and rarely responded in direct “Yes” and “No” answers.  He usually had so much on his mind that being in jail helped focus his thoughts on essential elements only.
	Charles sighed, “It’s tough to say.”
	“What?  You don’t want your freedom?” Sal stated.
	“Freedom?” Charles exclaimed.  “All the problems of the world are out there.  I haven’t even thought about money until we started making money from the book recently.  We need to keep it simple if we’re going to survive out there.”
	Just then, Brad walked into the room and said, “Our restaurant is being built as we speak.  We should be open next month.”  He then sat down in a chair and crossed his legs.  Since Brad had sizable balls he did not cross his legs like a woman, preferring to use a more open-legged technique that made a more triangular shape.  He then stood up suddenly and said to Sal, “Walk with me a minute.”
	He put his arm around Sal and said, “I’ve been doing some thinking,” Brad said as the two men strolled down the hallway.  “As much as I would like to be the head chef at my own restaurant, I know my skills would be better utilized in the front of the house.”  Brad stopped walking and turned to face Sal, “That is why I thought it would be best if you took over the kitchen.  I know you’re ready to be the Executive Chef of The Exchange.
	Sal was quite an emotional man and could do nothing to stop the flow of tears.  The years had been in hard on him in a way that he never expected.  Working for Organic Nation and then having his life tumble down like a house of cards was almost impossible to stomach.  The sunny side of the street for Sal was also equally as astounding.  After beating the crap out of Brad and then being knocked out himself, their relationship took a turn for the better.
	Brad hugged his sobbing friend knowing that his decision was not only the right move for their friendship, it was also the right decision for the restaurant.  Sal had honed his craft in the few years they cooked together to the point that his Johnson & Wales education was undeniably shining through.  Brad had neither the education nor the interest to take his incarcerated-driven obsession to the world of oxygen and fast cars.
	“Thanks for believing in me,” Sal said as the two men walked back into the room.
	Both Sal and Brad was teary, leading Charles to the logical conclusion that something good was afoot.
	“Meet our new Executive Chef,” Brad said to Charles.
	If there was any real bravado in the room, feelings would have been hurt over the lack of discussion on the future direction of the restaurant.  Charles couldn’t have been happier, and he crossed the room and shook hands with Sal and gave him a hug.
	“Couldn’t have happened to a nicer guy,” Charles said in Sal’s left ear.
	“Thanks, Chuck,” Sal countered.
   
MOVING ON

	Brad’s first stop out of jail was his new lawyer’s office.  The firm of Bernstein, Clark & Jacobs represented him until his criminal and civil trials ended, and a subsequent search landed him in the lobby of a new local firm.
	Guy Fillano had changed law firms a few years before Brad got out, and was quick to suggest that Brad follow his lead for a change.  The law firm of Torres, Berger, Thomas and Fukiyama was the Rainbow Coalition of law firms.  With a Hispanic, African American, Asian American and the European American in house, the firm was able to service a wide range of both clientele and legal situations.
	Brad walked through the front door of the modest four-story office building and proceeded toward the elevator and pushed the up-arrowed button.  The doors swung open and Brad entered the elevator alone, pressing the number four button and the settling into the back of the elevator.  Brad spotted a woman bearing down on the closing doors, but he was too far away to stop what had already been started.  He made a token attempt to push the open door button, but the doors closed and Brad was on his was upward.
	There were only a few offices on each floor, so finding the offices of Torres, Berger, Thomas and Fukiyama was about as difficult as locating an anchor in a haystack.  After all, the offices consumed the entire fourth floor, which amounted to the equivalent of four separate offices opened up and then designed by Fillano into one big office.
	  He walked out of the elevator and walked to toward the huge frosted glass door with the name Torres, Berger, Thomas & Fukiyama etched prominently, but tastefully into the glass.  Brad pushed open the right side of the door and walked toward the front desk, where a dark-haired, middle-aged receptionist awaited his inquiry.  
	“Good morning, sir.  Who are you here to see?”
	Before Brad could respond the front door swung open and a fast-walking woman said, “He’s here to see me.”
	“Good morning, Miss Berger.”
	“Good morning, Brenda.  Mr. Greenberg, follow me to the conference room.”
	Brad rolled the name Berger around in his mental Rolodex but his internal files came up dry.  The tall, sharply-dressed woman led Brad to an open, airy boardroom and asked, “Can I get you something to drink?” all the while never revealing her face.
	Brad was unsuccessfully trying to get a look at this mystery-woman’s face, so he replied, “Bottled water would be great.”  He waited sit down at the ten-seat, marble rectangular table.  Berger walked back in with a plastic bottle of water and then closed the door.  She turned around and walked toward Brad, who went into instant flashback mode at the sight of her face.
	Brad Green’s criminal trial lasted almost a year and cost taxpayers in excess of three million dollars, which he also had to repay to the government.  The government had assembled a dream team of federal criminal lawyers led by Lawrence Trimball, and it also included a New York-based lawyer that initially uncovered the accounting indiscretions, named Stacey Berger.
	Berger started her association with Organic Nation as a huge fan of the 72nd Street and Broadway location.  Her love with the food that made her feel great turned into genuine fascination with every aspect of the company.  Being a federal attorney specializing in corporate fraud was usually an existence devoid of any glitz or glamour, but the Organic Nation case not only brought excitement to the job, it brought her into the national spotlight.
	There was a time when Organic Nation had hit its peak and Brad Green’s ego was approaching Trump-like proportions.  He moved the company’s headquarters from Hicksville, Long Island, to Columbus Circle in Manhattan.  Not only did the company’s offices occupy an entire seven-story building, Brad also built living quarters into the back of his top-floor office so he never had to be far away from work.
It was Guy Fillano’s first foray into the big city, with the company’s upper Westside location being the follow-up to his initial stroke of genius.  The complex bordering the western end of Central Park South consisted of Organic Nation retail space in the lobby, offices from the second floor to the seventh floor, a jazz facility overlooking the park for the nearby Lincoln Center for the Performing Arts, a TV studio for financial broadcasts and company commercials, and Brad’s spectacular apartment that also overlooked the park.
Green also had a no cubicle policy where work spaces were unstructured and views were generally unobstructed.  Organic Nation employees were cooperative by nature and independent in their desire to complete a given task.  Individuals were encouraged to excel, but only within the team framework.  Everything from food prep to accounting and marketing were done within the ON credo: Alone we can move a pile.  Together we can lift a nation.
Brad flashed forward to his long trial, much of it he already stashed into his blackout file.  The face now in front of him was so familiar, that he didn’t know whether to hide under the table or locate the first exit and sprint directly through the door.  While Brad had delegated personnel to handle the day-to-day operations of his restaurant - including all personnel decisions - he still interviewed all candidates for the main headquarters positions.
Brad’s assistant summoned him one morning, “Mr. Green, Stacey Berger here to see you for the open media relations position.”
In walked the 35 year-old Berger, tall and well-built with dark hair and a pair of killer green eyes, posing as a wide-eyed 20-something looking for a break.  Green barely remembered the interview, but was fairly sure that her working undercover for the government was not brought up in their 20-minute discussion.  Brad recommended that Berger be hired for the position despite her lack of credible media relations experience, proving once again that a resume is only as good as its lies and blatant stretching of the truth.
As a Federal Criminal Investigator for the corporate unit, Berger turned her fascination and admiration for Organic Nation into a launching pad for her legal career.  Being an attorney and a CPA would have made the average person both egotistical and as boring as a documentary on the evolution of chalk, but Stacey Olivia Berger was the exception rather than the rule.
She worked diligently for Organic Nation for nearly two years, and actually became very competent at her media relations job.  In fact, a few months before the thunder led to rain, a handful of more savvy employees started running for the exits before destruction and devastation took hold.  The Director of Media Relations had been taking the brunt of the onslaught of media scrutiny, so she fled for the safer pastures of The Gap.  Once Brad heard of the defection, he quickly moved to promote Stacey to the director position, knowing that her obvious loyalty and good looks would help buffer him from the mounting negative exposure.
Once inside the building, Stacey had exposure to all company memos and internal documents to build the government's mountainous case.  She used her progressively tight relationship with Brad to get the information she needed, but the line had definitely blurred by the time the curtain went up on the biggest corporate trial in history of the modern era.
Stacey sat in a high-backed leather chair across from Brad and slid the bottle of water across the table, in front of a stone-faced Brad.  The years in jail sent him on a journey to release any angry feelings he had towards the people that had wronged him in his life.  Family resolution blended into corporate resolution, but in all that time he never had a soft or warm and squishy thought about the one… the woman that bruised his heart and sent his company to the wood chipper, all in the same stroke.
They sat across the table from each other in a virtual stalemate.  Brad had put Stacey out of his mind, or at least the front of his mind.
“Surprised?” Stacey said as she smiled nervously but confidently.
Brad was having a little difficulty finding the appropriate words to say for a change.  “Surprised?  That’s the best you can do?” he sat nodded his head in disbelief.
He continued, “I might have led with “I’m sorry” or “I didn’t mean to betray you” or “I had feelings for you, but…”
“I hate to quote Tina Turner but ‘What’s Love Got to do with it?”
“Are you saying that you loved me?” Brad asked.
She measured his interest and said, “It was moving that way,” appealing to his massive ago.
“Okay, I forgive you then,” he replied.
She had almost conquered the seemingly insurmountable initial hurdle, before having no choice but to retrace her steps.  “You forgive me?” she uttered in a slightly elevated tone.  “You forgive me?” she said nearly raising the proverbial roof.  “You took advantage of me!”  She then lowered her tone of voice but ratcheted up the anger, “You knew the ship was sinking and you tried to jump off while leaving me behind!”
“I left you behind?  You were just waiting for the right moment to jump off any bury me!” Brad responded.
“I earned that promotion!” she shot back.
“There was no one else left!” he said to hurt her feelings.
Just then, the sliding doors to the conference room slid open and the front desk receptionist poked her head in and said, “Is everything all right, Miss Berger?”
Brad interjected, “Just two old friends catching up.”
Stacey nodded in agreement and the receptionist smirked like she knew the whole story.
“She must have read your book,” Brad stated.
“Did you?” Stacey asked.
“I got it as a gag gift a few years ago.”
“You guys gave gag gifts in jail?” Stacey questioned.
“You’d be surprised what I learned in jail,” Brad said.
“So, are you going to retain me as your lawyer?” Stacey asked.
Brad studied her face and then backed off, “I’m not sure.  I’ll have to think it over.”  He paused for a split second and then continued, “Do you still work for the government?”
She scanned his face and then smirked, “Are you still breaking the law?”
They shook hands and Brad left the office after nodding to the receptionist and saying, “Have a great day.” 

OLD BEGINNINGS

“Why didn’t you tell me that it was Berger’s firm?” Brad questioned Guy Fillano as they stood in front of the new restaurant.
“It’s a good firm.  They have done some good work for me,” he replied.
The two men walked into The Exchange, which was modeled after the inside of a new-age brokerage firm.  There was a flat-screen monitor and keyboard built into the top of every table.  In the middle of the restaurant was a large boardroom table that could accommodate a large party of up to 14 people, or simply be used for smaller groups looking for the corporate experience.
“Wow” was the word that instantly floated out of Brad’s lips.
“Wow, is right,” Guy replied.  “I wasn’t messing around when I designed this place.”
“Yeah, I’m with you.  I don’t have the time or the money to mess around,” Brad stated.
Guy showed Brad around and some of the kitchen staff was preparing lunch for them.  “Good afternoon, Mr. Greenberg,” one of the men said and then went back to work.
It had been some time since he heard the name Greenberg spoken in his direction.  Although the name “Green” seemed to fit Brad’s previous lifestyle and corporate image, using his given name definitely helped set the wheels in motion toward feeling whole again.  Toward being more in tune with where he came from and where he wanted to go.
