Janell Rhiannon
Uncross the Stars

Copyright @ 2014 by Janell Rhiannon
All rights reserved. No part of this publication may be reproduced or transmitted in any form or by any means, electronic or mechanical, including photocopying, recording, or any information storage device without permission in writing from the publisher or author. 
*
This book is a work of fiction. References to historical events and people, or real locales are used fictitiously. Other names, characters, places, and incidents are the product of the author’s imagination, and any resemblance to actual events or persons or locales, living or dead, is entirely coincidental. 
*
Kindle 1st Edition 
Cover Design by @ Regina Wamba of Mae I Design 
Edited by Melissa @ There For You Book Editing and Review 
*
You can follow the author at:
Janell Rhiannon @Facebook
Twitter @theravenangel
www.janellrhiannon.com

Acknowledgments
Whenever you sit and write for hours, days, months...you get sick of it. You get sick of your own story, of editing, of sitting...and you begin to doubt that you can finish the book. The saving grace for a writer is that precious handful of people who cheer you on any way they can. They let you ramble, vent, and send texts with sad faces. I’m sure that when I was at my wit’s end for the hundredth time, they wished I’d just finish the book. But, they let me continue the process and encouraged me along the way. So, to this little group who helped me push through Uncross the Stars, I give you my deepest gratitude. 
*
Jim, Nathan, Wesley, and Verni
And in a place of honor, for your assistance 
and a special brand of encouragement
Joy

Chapter 1
At midnight, Fiona and her mother finally pulled into the driveway of their new rental. Her mom cut the engine, but not the parking lights.
	“Looks like we made it, Fee.”
	“Sorry. I’m just crabby. Almost that time of the month.”
	“That’s okay.”
	Meagan rolled her eyes. “Anyway, he’s totally into that pasty pop-tart, Ellie.”
	Fiona shook her head at her own inability to apply reason where boys were concerned. “Man, I suck at judging guys. Just like my mom.”
	“Maybe you just misunderstood Ryan. Maybe he just wanted to test you. See if you really liked Dario. You know. Cover his boy’s back and all that.”
	“You think?”
	“Sure. Why not? Girls aren’t the only ones who look after their friends.”
	Fiona felt a little better. “Maybe you’re right.”
	“Of course, I’m right!” Meagan laughed, breaking the serious thread of their conversation. “Hey, B.T.W., I was wondering if you could do me a favor?”
	“Sure, I guess.” Fiona said.
	“You guess?” Meagan asked.
	“You know what I meant.”
	“Yeah. Okay. Maybe it’ll be a good thing after listening to this depressing vent you’re on.”
	“What’s the favor?” Fiona asked. 
	Meagan pulled a twenty dollar bill from the back pocket of her jeans. “I need you to put this in Dario’s gym bag without letting him see you do it.”
	“Why and why?”
	“Just slip it in his bag would ya? Dario loaned me lunch money. I’m kind of embarrassed how he loaned it to me. I was all crying and everything.”
	“Sure. I guess I can do that.” She took the money from Meagan.
	“Look. Maybe it will be a way for you to talk to him, you know? Work it out.”
Fiona’s phone buzzed an incoming text. She had a feeling it was Dario before she even looked at her phone. 
	Dario: hey
	Fiona: hey back :)
	Dario: is everything OK?
	Fiona: :) sure
	Dario: so, see you at school tomorrow???
	Fiona: sure
	Dario: meet me at football hall
	Fiona: kk :)
	Fiona stared at her phone. Maybe Ryan’s wrong. Maybe. “Where’s football hall?” Fiona asked.
	“Why?”
	“Dario wants me to meet him there tomorrow morning.”
	“I’ll walk you over there. It’s by the ASB building.”
	“Thanks. Now, what movie shall we NetFlix?”
	Meagan laughed. “More like which one is most like the one we really want to watch?”
	“Funny. It’s got to be funny. I’ve had enough drama for one day.”
 
Chapter 14
Fiona scanned the benches looking for Dario. She spotted him chatting with a few guys near the locker room entrance off the hall. His eyes caught hers and he smiled. She felt relieved. He motioned her to come over. He paused his conversation, acknowledging her with a kiss on the cheek.
	“Hey,” he said.
	“Hey, yourself,” Fiona said back, blushing.
	Dario resumed his football conversation with some boy Fiona didn’t know.
	“We’ve got the better offense, no doubt,” Dario said.
	“Yeah, but dude, they won city champs three of five years running,” the other guy said.
	“They haven’t met us on the field. I’m telling you we’re gonna run all over them.”
	“We’ll see. My brother said—”
	“Your brother had his chance two years ago. That was then. This is now. Listen, clear that doubt from your head before you step on the field. Doubt is dangerous to the game,” Dario cautioned.
	Fiona stood by silent, feeling slightly awkward. She wondered if she should just excuse herself. Then, she remembered the twenty. Dario’s bag sat partially opened on the ground next to her feet. She took Meagan’s twenty out of her pocket, knelt down and quietly slipped it into Dario’s gym bag. As Dario’s conversation continued, she slowly stepped away and started walking back down the hall, hoping she’d find Meagan before class.
***
Across from Dario and Fiona, Ryan carefully eyed the scene and made his big play.
	“Look at that chick! Who does she think she is?” he said out loud to a half dozen guys on the team, who zeroed in on Fiona putting something in Dario’s bag. They all watched her walk away.
	“She’s got no respect,” Ryan said to the guys standing around him. They all looked dumbly at each other, shrugging and shaking their heads.
	“She’s Dario’s girl, man,” said one.
	“Ain’t no thing, Ryan. Why you trippin’ so hard over somethin’ la’dat?” said another.
	“You guys don’t get it, do you? She’s bad news. Mark my words.” Ryan defended his position. He brushed them off and walked over to Dario, casually leaning down to peek in the unzipped opening. He assessed the guys across from him, making sure no one was watching him as he took a small vile from his pocket. He let it slide from his hand into Dario’s bag and then stood up.
	He interrupted Dario’s rundown of local football. “Hey, D. Fiona put something in your bag, bro.”
	“What?” Dario’s attention shifted from football to Ryan. “Where’d she go?”
	“I said, I just saw Fiona put something in your bag and then she left.”
	“What was it?” Dario asked.
	“I don’t know. She walked over here in stealth mode. Opened your bag. I saw her put something in it. We all did.” He pointed to the group of guys standing across from them.
	Dario squatted down and unzipped his bag all the way, rummaging through the contents. He finally pulled out the twenty and the small vile.
	“Dude! That’s a spit load of steroids!” Ryan’s loud surprise drew the attention of everyone in earshot. “I didn’t think you were seriously thinking about it.”
	“Thinking about what?”
	“Using these.” Ryan took the small dark glass vile from Dario’s hand and shook it.
	“I never said anything like that.”
	“Yes, you did. When I asked you about USC, remember?” 
	Dario reached for the vile. “Give me that.” He took the bottle back.
	“Boys. What’s going on here?” Coach Green asked from behind them.
	Dario spun around. “What?” 
	“Nothing, Coach. Nothing,” Ryan replied.
	Coach Green eyed Ryan suspiciously. “Wherever you’re concerned Ryan, I know to suspect something.”
	“Really, it’s nothing Coach,” Dario said, trying to get Coach Green to drop the subject.
	“What’s in your hand, Dario? If it’s nothing.”
	Dario’s looked from Ryan to the coach. 
	“Well?” Coach Green insisted.
	Without a word, Dario handed the bottle to him.
	The coach turned it over in his hand, read the label, and shook his head in complete disbelief. “Where did this come from?” he asked.
	“I don’t know. Someone put it in my bag, because it’s not mine. I swear.”
	“Son, you’ll need to come with me to my office.” Coach Green started walking away, then turned and eyed Dario. “I expect you, now.”
	Dario shot a parting glance at Ryan who just stared in horror after them.
***
Once they reached his office, Coach Green shut the door. He motioned for Dario to sit down across from his desk. The coach picked up the phone receiver and pushed four buttons. Dario didn’t need to see the numbers to know the school’s resident police officer was being called. He wanted to bolt from the confined gray and orange space, but knew there was really nowhere to hide from this predicament. The coach spoke quietly into the receiver, “I need the Officer Manning and a cart please…thanks.” He hung up the phone.
	“Coach. That stuff isn’t mine.”
	“Dario, I’ve always held you in high regard. You know that, right?”
	“Sure. I guess.”
	“I have to follow protocol on this.” Coach Green coughed uncomfortably. “I don’t want to do this, but I have to. Understand? I can’t have anyone on my team using steroids.”
	“But, they aren’t mine.”
	“That’s not my call,” he said. “I hope they aren’t yours.” The coach looked up and met Dario’s brown eyes full of confusion and teary anger. “I really hope they’re not yours.”
	An uneasy silence settled as they waited. Dario couldn’t believe this was actually happening. He’d set his gym bag down for all of fifteen minutes. He couldn’t remember anyone coming near his bag, besides Fiona and then Ryan. Ryan had made such a big deal about Fiona. He couldn’t believe Fiona would do something like plant steroids on him. He reasoned that she barely knew anything about football. Strike that. She knew nothing about football, so how would she know anything about getting her hands on steroids. Why would Fiona do something like this? The question rolled around in his brain. It didn’t add up. Yet, here he was getting busted by the police for having steroids in his bag. He’d come close a few times to giving in to the nagging voice of insecurity that urged him to try steroids. Ryan had given voice to his deepest fear the other day in the gym, and he’d blown him off, because it was too close to the truth. And on an even deeper level, it wasn’t matching other collegiate athletes’ size and speed that he wrestled with the most. It was the unspoken terror he’d kept at bay, until Fiona showed up. She was the first girl he’d ever considered liking, and all he could think of now was, look where that got me.
	A firm knock broke the stillness. “Come in,” Coach Green said.
	The campus officer, in his navy blue uniform, filled the doorway. Dario didn’t look up, but stared at the floor. He saw the polished black boots. He felt, more than saw, the coach hand the steroid vile to the school’s police officer.
	The officer asked Coach Green, “Where did you find this?”
	“Ryan was making a big commotion in the hall. I walked over to see what the chatter was. I saw Dario holding this in his hand.”
	“I see.” Dario heard the baritone of disapproval in the officer’s voice. He turned to face Dario. “You’ll have to come with me. Will that be a problem?”
	Dario thought he could explain what happened, and maybe everything would be okay. He knew he was innocent. “No, sir. It won’t.”
	“Let’s go then.”
	Dario stood up. His stomach lurched. His future flashed before his eyes. Even though he knew he was innocent, he knew the possibility of anyone believing him was slim at this juncture. When the coach’s office door shut behind him, it closed with a heavy thud and he thought of the fortune-teller. This is the betrayal. It can’t be Fiona. Please, don’t let it be her.
	The officer drove the cart across the quad area to the Discipline Office. A few kids waved at Dario as the cart drove by, but his mood was dark and clouded. He kept his eyes forward, refusing to acknowledge anyone. When they reached the end of the short ride, Dario got out of the cart. Fear and nerves continued the war in his gut. The officer pushed the heavy metal doors open. He entered the waiting-for-discipline area, and immediately noticed Ryan sitting in a chair along the back wall. Ryan looked up at Dario. 	The officer prompted Dario to sit in a row opposite his friend.
	“Why are you here?” Dario asked Ryan point blank.
	“I don’t know. They just picked me up in a cart.”
	“Who would do this to me? You know those ‘roids aren’t mine,” Dario whispered.
	“No idea. You’re the star, right? Everyone loves you.” 
	Dario hung his head, shaking it slowly back and forth.
	“I mean it, bro. Everyone likes you.” 
	“Not everyone, apparently,” Dario said.
	“Don’t get so down, D. Man, I’ve never seen you look so depressed.”
	“I just can’t think of anyone who’d want to do this to me.” Dario looked at his friend, searching for reassurance. “You believe me, don’t you? That I’m not using.”
	“Sure, D. I believe you,” Ryan said. “The only person near your bag was Fiona. But you said you guys were cool, right? I mean she wasn’t mad at you, or anything, right?”
	Dario just kept shaking his head. “I thought so.” The fortune-teller’s words echoed through his mind again. He didn’t want to believe there was any truth in what she said. But this entire situation could only be the result of betrayal. A betrayal by someone who knew him, by someone who wanted to see him squirm. What made no sense was why Fiona would want that.
	“Wait…what? You were fighting?” Ryan asked.
	“I don’t know. Just a feeling. She stood me up yesterday at lunch. Ignored all my texts.”
	“So, she was mad at you?”
	“I guess. I don’t know. Why?”
	“Girls don’t need a reason, bro. I think girls wake up mad,” Ryan said. “How far do you think you can trust Fiona?”
	“Dario, could you step into the office, please.” The Vice Principal of Discipline was a small framed man with a high pitched almost feminine voice. When he spoke, he jarred the nerves of everyone in the waiting area. Students rolled their eyes, laughed, or continued to stare stonily at the floor, when Dario made the short walk into the interrogation office.
	Officer Manning’s office was sparsely furnished and decorated. An anti-smoking poster hung on a side wall along with a few family photos. A small display of deep-sea fishing pictures of Manning and a group of other men, who Dario guessed were other officers, lined the top of a low book case. A K-9 photo hung directly behind his desk chair. Dario hadn’t guessed that about the stern looking cop behind the desk.
	Officer Manning indicated to the chair directly in front of his desk. “Sit, please.” 	The Vice Principal took a chair off to the side. Dario sat. “So, you’re Dario? Right?”
	“You already know who I am.”
	“No call for attitude, Son.”
	“I’m not your son.”
	“Fair enough. Your last name, please?”
	“Martinez.”
	The officer spoke, as he wrote on a yellow legal pad, “D-a-r-i-o…Martinez.”
	Dario stared at his folded hands in his lap. He still couldn’t believe this was happening.
	“I understand you were in possession of a controlled substance,” Officer Manning said casually.
	Dario sat mute. He continued looking at his hands. He shook his head.
	“Is that a yes or a no?”
	“Do I have to answer your questions?”
	“Son, this is a serious matter. And if you tell me the truth, it will go easier on you in the long run.”
	Dario contemplated that. He wanted to shout his innocence to the officer, but something told him the officer was more interested in finding evidence against him, than trying to find him innocent.
	“I want my dad.”
	“Fine. We’ll get him. Mr. Bachman, do you have Dario’s father’s contact information?”
	“Yes, I can get it from his file.” The Vice Principal opened a file on his laptop and said, “778—”
	“Fine. Just call them.” 
	Mr. Bachman dialed out on the office phone on the officer’s desk. Dario heard the phone ringing through the receiver, then his father’s muffled voice talking to the Vice Principal.
	“Mr. Martinez? This is Mr. Bachman…We need you to come down to the school because there’s been an incident. No, Dario’s not injured.” He paused. “We’ve got him in my office with the campus officer…I can’t tell you that over the phone…We need to question him. Fine. That’s right. The north parking lot. Yes. Yes. Thank you.” He turned to face Dario, whose gaze remained fixed at his hands. “Your father will be here shortly. And your mother.”
	Dario finally looked up. “What? Why?”
	“Your father felt like she’d want to be here.”
	Dario lowered his eyes again. He didn’t want both of his parents here. One at a time felt like all he could handle. He forced his eyes to count the lines around each square floor tile.
	Officer Manning broke the silence first. “You keeping up with the Giants?”
	“Nope. Dodgers. Hear about Maldonado’s no-hitter last night?”
	“Yup. They pay him enough. What’s his salary? Seventeen mil?”
	“He makes the big bucks because his arm is golden. Hey, what’s the big deal with that anyway? What about Schultz? Giants pay him over twenty.”
	Dario’s phone dinged a text in his pocket. The two men turned to look at him, as it dinged away with a flurry of texts like a casino slot machine. He wanted to check his phone, but ignored it completely. Dammit! Probably Fiona. Maybe Ryan. Ah, man. I was supposed to meet Fiona after English. Maybe Ryan told her what’s going on. Then, he remembered that Ryan was in the waiting area. A knock at the door rattled Dario from his thoughts. The door cracked open and the secretary poked her head into the room.
	“Mr. and Mrs. Martinez are here.”
	“Send them in,” Mr. Bachman said.
	Mr. Bachman stood up, when Dario’s parents entered. “Thank you for coming. Appreciate it.” He extended his hand to Dario’s father and mother. The pleasantries were obviously stiff and uncomfortable to everyone in the cramped room. “Please, sit here.” The Vice Principal gestured to two uncomfortable looking chairs.
	“You okay, Dario?” his mother asked.
	He lifted his head to look his mom. His eyes watered, when he saw the worry in her eyes.
	“Oh, honey. It’s going to be okay.”
	“Mr. and Mrs. Martinez, I’m Officer Manning. And we called you here because your son was in possession of a schedule three controlled substance.”
	“What does that mean?” Dario’s father asked.
	“By the label, anabolic steroids.”
	“That’s impossible!” The vehemence in his father’s voice revealed his immediate belief in his son’s innocence.
	“The lab will have to test it to make sure it is, in fact, steroids and not something else,” the officer informed Dario’s parents.
	“Something else?” Dario’s mom asked. “What do you mean?”
	“Ma’am I need to make certain that what was in your son’s possession is in fact steroids, and not some other drug.”
	“Or nothing at all,” Dario’s dad said.
	“Mr. Martinez, may I ask you a question?”
	“Yes. Certainly.”
	“Do you have a prescription for anabolic steroids?”
	“No. Of course not.”
	“Okay. Thank you. Mr. and Mrs. Martinez. Dario. I’m going to digitally record our conversation, so I can go back over it in case it’s necessary later.” He placed a small metal recorder on top of the desk.
	Dario watched as the officer slid the side switch to the “on” position. “I’m going to read you your Miranda rights.” Dario’s heart pounded. He realized, now, he was being officially interrogated by the police. He swallowed hard. His throat tightened. He took a deep breath.
	“You have the right to remain silent. Anything you say can and will be used against you in a court of law. You have the right to speak to an attorney, and to have an attorney present during any questioning. If you cannot afford a attorney, one will be provided for you. Do you understand your rights?”
	“Yes,” Dario said.
	“If you talk to me now, your cooperation will be appreciated and the court will look favorably on your willingness to tell the truth. Do you understand?
	“Yes.”
	“Okay, then. Do you use anabolic steroids?”
	“No.”
	“Coach Green saw you holding the vile of steroids. Where did you get it from?”
	“It’s not mine.”
	“Answer the question, please.”
	“I guess it was in my sports bag,” Dario answered.
	“You guess it was in your sports bag? You don’t know what’s in your sports bag?” the officer asked.
	“Yes. I know what’s in my sports bag.”
	“So, you knew the steroids were in your bag?”
	“I didn’t know they were there.”
	“But, they were there. In your sports bag.” The officer pressed Dario for the truth.
	“I know what’s in my bag. I just didn’t know that was in there.”
	“Okay. So, they were in your bag.”
	Heat rushed up Dario’s neck. “You’re pissing me off.”
	“Why?” The officer’s calm, even voice grated Dario’s nerves.
	“Because you’re twisting what I’m saying trying to make me look guilty.”
	“I’m not trying to make you look anything at all. I’m just trying to get to the truth.”
	A bird hopping along the low ledge of the office window outside caught Dario’s eye. He watched it for a few seconds. He clenched his jaw. “Whatever,” Dario spoke in a tight-lipped whisper.
	The officer continued questioning undeterred. “Where did you get the steroids?”
	“I already told you they aren’t mine.” The indignation rose again, this time all the way to his cheeks. 
	“If they aren’t yours, then why were they in your bag?”
	“I don’t know. Someone put them in there.”
	“Was there more than one vile?”
	“I meant that one. There was just one.”
	“Are you sure?”
	“Yes.”
	“Okay. So you knew there was one vile of steroids in your sports bag, not more than one.”
	“I told you I didn’t know it was in there.”
	“But you just said you were certain there was only one in your bag. How can you be certain there was only one and not know what was in your bag?”
	“I don’t know.” Dario knew everything was going all wrong. His stomach knotted up again. His shoulders slumped slightly. He looked out the window again. 
	“Where did you get the steroids, Dario?”
	“I didn’t get them any where. I didn’t know they were in my sports bag. Ryan saw me pull them out—” he stopped himself from saying “after he’d seen Fiona messing with my bag.”
	“So, Ryan saw the vile in your bag?”
	“Yes.”
	“What did he do?”
	“He asked me if I was taking them?”
	“What did you tell him?”
	“I told him I wasn’t.”
	“Then what happened?”
	“He took the bottle from me to look at it. I took the bottle back from him to put it back in my sports bag and then Coach came up behind me.”
	“You were going to put the steroids back in your bag? Were you planning on keeping the bottle?”
	“No. I was going to—” He realized he didn’t know what he was going to do then.
	“You were going to do what?”
	“I don’t know.”
	“Were you planning on selling it to someone else?”
	“No.”
	“So you were going to keep it?”
	“No way.”
	“Let me see if I’ve got this straight. You got the bottle out of your bag and gave it to Ryan. Then, you took it back from him to put it back in your bag. That doesn’t sound like you were trying to turn it in.”
	Dario’s father interrupted, “Officer Manning. I think it’s clear my son didn’t know anything illegal was in his bag.”
	“I’m sorry, Mr. Martinez. What’s clear to me is that your son was in possession of a schedule three narcotic. With two witnesses. And that’s a criminal offense in the state of California. Dario, I’m going to have to arrest you for being in possession of a controlled substance.”
	Dario’s mother began crying. His father put a comforting arm around her shoulder, but that didn’t stop the tears.
	It killed Dario to see his mother crying like that. “Mom, don’t cry. I’m gonna be fine. I promise.” His mother exhaled a pitiful sigh.
	The officer stood and walked around his desk to stand in front of Dario. “Please, stand up.”
	Dario stood up slowly. His legs trembled slightly. Holy crap this is really happening! Reality swallowed his faint hope that this misunderstanding would reach a rational conclusion; that someone, his coach, the principal, anyone with real authority at school would walk in and vouch for him ending this train wreck. He knew now that that wasn’t going to happen. The fortune-teller’s words rang loudly in his ears…someone close to you is betraying you…imprisonment…
	“Dario Martinez. You are under arrest for the possession of an illegal substance banned by the state of California.” Officer Manning pulled the shiny silver cuffs from his utility belt and turned Dario around, pulling first his right arm back, clamping the cuff tightly around his wrist, then the left arm and wrist. “Let’s go.”
	Dario shot a look of disbelief at his parents, who had stood up in the midst of their own confusion and disbelief.
	Mr. Bachman rushed to open the door. Officer Manning escorted Dario out to the waiting-for-execution area. Dario felt the hot eyes of each student on him. He looked for Ryan. Their eyes locked. Ryan mouthed, “What the?”
	A flash of linoleum, then concrete, then asphalt and Dario was at the side of the police cruiser. The door was opened for him. He felt a hand behind his head, as he was gently shoved into the back seat. He’d never been in a police car before. The officer strapped him into the hard plastic back seat with the safety belt. His recent touchdown flickered like a dream running low on electricity. Kissing Fiona flashed. The scholarship letter flashed. Fiona’s smiled flashed. His dreams faded to nothing with each passing jolt in the road. It’s all ruined.

Chapter 15
Ryan walked in to Coach Green’s office. Hs hands jammed into his pockets. He wasn’t sure what the coach wanted. “You wanted to see me coach?” 
	“Yeah. Sit down, Ryan.”
	Ryan sat. He waited.
	Coach Green cleared his throat, and then looked him hard and straight in the eye. 	“I don’t know what funny business you might be involved in regarding Dario.”
	“I don’t know what you mean, Coach.”
	“Ryan. Whenever you start—Never mind. It doesn’t matter,” he said. “I can’t believe I’m going to do this.”
	“Do what?” Ryan asked.
	“I need you to step into the starting QB spot.”
	Ryan looked surprised. “Me? Isn’t Dario coming back? I mean we know he’s innocent. He’d never do anything like that. Risk not playing in the big game in two weeks.”
	“He may have lost more than that.”
	“More than the Liberty Bell game?”
	“I had to call USC this morning,” Coach Green said. “But, that’s another matter entirely. Right now, I need you to find your QB mindset and help me win that damned Liberty Bell back. Maybe we’ll get a championship ring by the time this mess gets sorted out.” 
	“Sure, Coach. I won’t let you down. I promise.” Brilliant! You’re a freaking genius, Ryan! Dario out. Ryan right where he belongs. 
	“Good. Now get going. See you at practice.”
	“Sure, Coach.”
	Ryan walked out of the office grinning ear to ear. He pulled out his phone to text Meagan.
	Ryan: where you at?
	Meagan: by the library
	Ryan: can I see you tonight?
	Meagan: sure :)
	Ryan: you’re the best babe :)
	Meagan: um. Where?
	Ryan: usual. Park by your house. Don’t bring the dog.
	Meagan: :( aw
	Ryan: wanna race your curves without an audience
	Meagan: lol. Kk.
***
The silvery glow of the street lamp spotlighted Ryan’s car. Meagan walked faster as soon as she saw it. She didn’t want to make him mad by keeping him waiting. Being with Ryan was like a play unfolding on her private stage. The back passenger door opened as if by magic, beckoning her to enter. She slid into the back seat and into Ryan’s arms. He slowly wrapped around her, kissing her until she couldn’t breathe. She pushed against his chest slightly, tilting her head back from his hungry mouth.
	“What’s wrong, Meg?”
	“Nothing. I just can’t breathe.” She lied.
	“Don’t you want it?”
	She looked up into his eyes. She saw fire and ice. “Yes, I want to.”
	He brought a hand up to smooth her long bangs from her face. “You’re so cute when your hair’s a mess.”
	“It’s just that—” Meagan put her head down, again.
	Ryan’s hand stopped its gentle touch, and he turned her chin up ever so slightly rough with his fingers. “Just what? I thought you said everything was fine.”
	“I did. It is. It’s just,” she paused, before blurting out the one word that made her feel like the lowest pond scum, “Ellie.”
	“You’re joking, right?” Ryan didn’t bother hiding the irritation in his voice. 
	The harsh tone of his question squelched Meagan’s response.
	“Who am I here with? Ellie or you? If I wanted to be with her, I’d be with her right now. But I’m with you. What more do you want from me? It’s only been a few weeks. I’ve known Ellie for years.”
	“I don’t know,” Meagan whispered.
	“I do. You want me to just dump Ellie and pick up with you. Right in front of every body. Do you really want to be with me, or just be seen with me to show Ellie up? She’s more popular than you, but I didn’t care. I thought you were cute. I wanted to be with you. I thought you understood being in the backroom meant staying in the backroom, until I could claim you on the legit side.”
	“I know. I just don’t want to feel bad every time I see Ellie.” Meagan’s heart thundered at his use of the past tense.
	“How you feel? How about how I feel? You have nothing to lose. I’m the one with the rep to keep. I’m the one with a girlfriend who’ll bash me across Twitter. Across campus. Her mom and my mom are best friends.”
	“I’m sorry. I didn’t realize it was so complicated for you. Really. I’m sorry.” Meagan forced her best happy smile. Ryan just shook his head. “I won’t push again. I know you want to be with me. You wouldn’t be here right now if you didn’t. I get it.”
	“Do you? Coach just told me I have to step into the quarterback spot for the rest of the season.”
	“That’s amazing Ryan!” Meagan kissed him on the cheek.
	“I can’t have any distractions. Unless, it’s these curves,” he said, planting hot kisses on Meagan’s neck.
	Meagan let him kiss her and touch her. She lay back letting him drive the course he wanted. Meagan tilted her head tilted back and looked out the rear window to the stars above. They twinkled like specks of glitter. She closed her eyes, sending her wish for love into the heavens. She believed Ryan would come around to loving her. It’s all I want. She convinced herself she could wait for him to break it off with Ellie. She opened her eyes, watching Ryan’s bare shoulder as he took her love from her.
	When Ryan finished with her, he sat up and pulled his jeans back on. Meagan watched him dressing, curious and admiring. 
	“Hey, you better get dressed before someone walks by or something.” He ran his fingers through his messy blond hair.
	“Sorry, I was just enjoying the view,” she said. She pulled her T-shirt down and her jeans up.
	Ryan leaned over her, tucking a strand of hair behind her ear. “I need a favor.”
	Meagan finished adjusting her jeans. “Okay.” 
	“I need you to get Dario’s lucky T-shirt from Fiona.”
	“The Thirty Seconds to Mars one?”
	“Yup. That’s the one.”
	“Why?”
	“No questions. Remember, little dove?”
	Meagan frowned.
	“I need it for my own luck. Just keep it on the DL.”
	“Why don’t you just ask Fiona? Tell her why. I’m sure she’d let you borrow it.”
	“She hates me.”
	“No, she doesn’t.”
	“Look. I don’t want to involve Fiona at all. Can you do it, or not?”
	“Yes. I can do it.” Meagan wanted to please Ryan in every way possible, so she agreed.
	“That’s my backroom babe.” Ryan pulled her into a kiss, then abruptly let her go. 	“I’ve gotta get home sweetness. It’s time for you to get going. Oh, hey, one more thing.”
	“What?”
	Ryan reached into the front seat and grabbed his practice jersey. “Give this to Ellie at Friday night’s game. Not before.”
	“Okay. Anything else, sir?” she smiled.
	“Nope.” As Meagan got out of the car and shut the door, Ryan tossed her an enticing crumb. “If you get that T-shirt and I win the next two games, I’ll break up with Ellie.”
	Meagan smiled. “Really?”
	“Truth.”
	“All right then. Consider it done.” Meagan turned and walked home. For effect, she made sure she didn’t turn around and look back at him pulling away. Just in case he was watching, she wanted to look strong and confident.
***
Dario lay on his bunk in juvenile hall. The florescent bulb just outside his door flickered through the small door window. The room was bare and drab. The stiff white sheets scratched against his face and the dark gray blankets itched. He never imagined he’d ever be in this miserable place. Who’d set me up like this? Ryan seemed pretty certain it was Fiona. Dario couldn’t wrap his brain around that, but he couldn’t get it out of his mind either.
	Maybe it was because of where he was that he allowed himself to think about the night his entire life was hurtled from a cliff into oblivion. He’d been young, three years old, so no one expected him to have any memory at all of the horrific events of that fatal night. But, he did remember certain things. He remembered his mother, his real mother, who smelled clean like soap, when he snuggled in the crook of her arm while she read him his favorite book, Where the Wild Things Are. He remembered the colorful fish mobile hanging from the ceiling, how it turned and twisted with each shiny fish reflecting the bedside lamplight. He remembered his Superman blanket. He remembered the sound of her voice, low and soft, when she read. He remembered how much he loved her. It was his last and most vivid memory of her. Her last moments on Earth were his most precious and sacred images. He always made himself stop the scene from unfolding into the blackness it became, but now, he found he couldn’t stop the memory from unfolding. 
	The book was almost finished, and he’d looked up into his mother’s face watching her lips curl and curve with each word. A loud crash jolted his mother and broke the spell she cast with her reading. He heard a man yelling. His mother shoved him off her and covered him with the Superman blanket just as the bedroom door burst open. He peeked over the edge of the blanket and saw his father’s face twisted up and red; his mouth a gapping hole releasing a noise he didn’t recognize as belonging to his father. His real father. The murderer. His bed bounced hard. His mother screamed. Noises he’d never heard before forced him to close his eyes tight against them. He curled up as small as he could make himself. When the room quieted, he dared to peek over the edge of his blanket. He saw his mother, his lovely mother who smelled like clean soap, who read so sweetly to him, who filled his little heart with love…laying on the floor covered in red. Red soaked her body, the carpet, and the wall. He’d been too terrified to move, so he cried. He cried and cried, until a police officer took him away. 
	When he got older, he’d asked what happened to his father. His new parents told him that one night his father got drunk. That his mother had a restraining order against him, but in the end, it hadn’t mattered. They told him his father was an abusive alcoholic. It was some sort of twisted crime of passion. Knowing that his father was an alcoholic and a chronic abuser of his mother weighed too heavily on his shoulders for him to fully disclose the truth to anyone, even himself most of the time. The shame of his father’s actions stained him to the core. He always believed it would be his blood ties to the murderer that would one day drive him to darkness, to jail, but not like this.
	What if? The thought tortured him in the dark. A hot tear escaped the corner of his eye. The hall lights flashed once, then twice, signaling lights out. Dario closed his eyes and drifted off to an unsettled slumber.

Chapter 16
Fiona’s mother found a parking stall and pulled in slowly, but didn’t cut the engine. Juvenile Hall sprawled out over several acres. The buildings sat like giant square blocks stacked one on top of the other. Gray concrete walls punched with occasional windows, gray concrete walkways and a tall chain link fence topped with coiled razor wire made for an imposing and depressing display of architecture. No greenery anywhere. No trees. No grass. 
	“Are you sure you want to do this?” Fiona’s mom pulled her sunglasses down to look her daughter in the eye. The air conditioner vent gently blew her mom’s hair in front of her face.
	“I’m sure.”
	“Honey, it looks depressing. I wouldn’t blame you if you changed your mind.”
	“That’s exactly why I have to go.”
	“Okay, then.” Fiona’s mom turned the car off. “Let’s go.”
	“Don’t embarrass me, Mom.”
	“Please. In this place? How on earth could I do that?”
	“Mom! I mean it.”
	“Fiona Lavender. We’re at a prison.”
	“Juvie, Mom. It’s juvie. Not prison.”
	Fiona’s mom surveyed the sea of gray, flipped her shades up and said, “I don’t see the difference.” She opened her car door and got out, leaving Fiona sitting in her seat. “Let’s go, please. It’s hot out here.”
	Fiona took a deep breath, unbuckled her seat belt and got out of the car. She shielded her eyes from the sun, squinting against the stark brightness. They walked side by side through the front gate and up to the front doors. She eyed their approaching reflection in the dark tinted glass. She hated to admit she looked like her mother, but when they stood side by side there was no doubt.
